CONTRIBUTING_FACTOR,FactorCount
Listening/Using Headphones,16
Windshield Inadequate,31
Texting,35
Shoulders Defective/Improper,44
Vehicle Vandalism,65
Eating or Drinking,67
Headlights Defective,68
Tow Hitch Defective,95
Tinted Windows,95
Other Lighting Defects,102
Using On Board Navigation Device,103
Cell Phone (hands-free),108
Cell Phone (hand-Held),344
Reaction to Other Uninvolved Vehicle,425
Traffic Control Device Improper/Non-Working,438
Accelerator Defective,445
Lane Marking Improper/Inadequate,493
Driverless/Runaway Vehicle,544
Drugs (illegal),645
Animals Action,739
Illnes,871
Other Electronic Device,903
Pavement Defective,1159
Tire Failure/Inadequate,1220
Steering Failure,1296
Failure to Keep Right,1478
Obstruction/Debris,1989
Glare,2170
Fell Asleep,2678
Physical Disability,3296
Brakes Defective,3435
Passenger Distraction,3554
Outside Car Distraction,3998
Aggressive Driving/Road Rage,4844
Prescription Medication,5441
Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,5539
Oversized Vehicle,6555
View Obstructed/Limited,7299
Lost Consciousness,7617
Pavement Slippery,10063
Alcohol Involvement,10675
Fatigued/Drowsy,11966
Reaction to Uninvolved Vehicle,13259
Driver Inexperience,15862
Unsafe Speed,16233
Traffic Control Disregarded,22475
Turning Improperly,26102
Passing Too Closely,27728
Unsafe Lane Changing,28179
Backing Unsafely,32053
Passing or Lane Usage Improper,35873
Failure to Yield Right-of-Way,75911
Following Too Closely,76557
Driver Inattention/Distraction,225691
